총_유동인구_수,총_상주인구_수,총_직장_인구_수,운영_영업_개월_평균,폐업_영업_개월_평균,당월_매출_금액,점포수,임대료,공실률
64415,441,1409,91,47,12139604764,143,69.6,11
290068,5226,217,116,60,1101556437,40,43.4,9.5
586351,3013,967,101,44,4461937802,136,43.4,9.5
975680,623,16372,136,54,29801995086,790,29,3.3
561947,630,3078,111,54,24732972996,432,29,3.3
92178,2327,294,86,46,986972716,28,46.4,7.4
394561,2718,705,106,48,13071649008,118,46.4,7.4
399131,807,7635,89,50,38134203681,343,46.4,7.4
141629,1031,621,89,43,23654951324,209,46.4,7.4
202131,3,9386,102,54,15313750759,132,46.4,7.4
207395,2187,199,82,40,4606058422,70,46.4,7.4
78090,538,571,78,41,1854365284,50,46.4,7.4
233218,412,979,83,44,14722923409,238,46.4,7.4
653813,3641,49500,81,43,33375574700,475,46.4,7.4
113206,738,1536,78,43,4384158839,57,46.4,7.4
263103,2980,320,86,45,4996835229,139,46.4,7.4
200659,1925,6144,83,41,10676111737,187,46.4,7.4
443493,1693,20499,86,44,24486805972,276,46.4,7.4
152803,549,65,73,41,15311197947,102,46.4,7.4
905947,4554,27937,88,44,35985897870,512,46.4,7.4
210239,2355,3096,96,43,6880774950,111,46.4,7.4
160433,2917,626,85,40,9826007077,135,46.4,7.4
169330,493,18338,98,51,10175207796,92,46.4,7.4
384978,3341,259,79,41,14159614990,263,46.4,7.4
1773125,5143,20180,75,42,82999398380,1161,46.4,7.4
302107,2664,2634,73,38,9012800344,106,46.4,7.4
287989,1984,1292,73,47,39860953817,663,46.4,7.4
470762,4488,154,74,41,11428238869,209,46.4,7.4
122198,2597,1743,87,41,14375411896,341,46.4,7.4
878393,2250,7008,80,40,61027014002,908,46.4,7.4
561355,958,27354,80,44,41008361995,531,46.4,7.4
121369,68,2982,100,41,7860678844,69,46.4,7.4
956316,3423,26140,78,40,72674102222,1040,46.4,7.4
951570,860,38850,74,41,90566299497,952,46.4,7.4
2121323,3321,32768,78,42,1.89E+11,2217,46.4,7.4
191120,1987,9579,92,44,8074005063,165,46.4,7.4
271339,2389,2821,87,38,8073762784,139,46.4,7.4
391950,1191,23561,76,41,21292602891,516,46.4,7.4
388148,367,3883,105,49,10376003007,110,46.4,7.4
645117,5906,8354,74,41,16922588408,266,46.4,7.4
444366,7409,3335,82,40,16727080782,310,46.4,7.4
61562,315,498,113,51,12236963058,69,46.4,7.4
514123,1435,56948,67,39,20376583793,420,46.4,7.4
293075,721,1405,91,61,3962658989,62,70.2,4.7
77457,1182,114,99,40,3370719792,139,70.2,4.7
605622,968,10394,90,52,39874662416,526,70.2,4.7
171721,910,1381,93,46,5543864612,138,70.2,4.7
96510,1377,10,82,56,4275869454,83,70.2,4.7
176371,712,2597,78,46,9952507892,134,46.4,8.2
3481112,8286,15744,66,43,3.10E+11,3760,46.4,8.2
126525,1988,1537,78,48,4765191719,77,46.4,8.2
92057,783,16,47,44,12030939022,167,46.4,8.2
94111,1085,126,54,41,6890479782,119,46.4,8.2
884395,62,940,71,48,11804353902,225,46.4,8.2
362701,704,746,85,44,11567238469,162,46.4,8.2
235102,1858,1711,65,40,4863415590,94,46.4,8.2
86945,818,386,70,44,4761287671,85,46.4,8.2
